,gene1,gene2,pcc,pcc.pvalue
cor6758,IKBKAP,IKBKAP,1,0
cor374,IKBKAP,CAMSAP1,0.619724690907115,2.49216391496824e-57
cor1765,IKBKAP,SECISBP2,0.588381714729239,1.71107994374943e-50
cor4921,IKBKAP,SNAPC4,0.572572353647855,2.55389818551799e-47
cor8493,IKBKAP,HNRPH3,0.572169167799333,3.06131932030697e-47
cor8533,IKBKAP,TTF1,0.556581907393982,2.79933498335438e-44
cor6938,IKBKAP,TRIM6-TRIM34,-0.532280381351385,5.79709884336206e-40
cor10012,IKBKAP,IARS,0.530428614338929,1.1964763001845e-39
cor11064,IKBKAP,MAK10,0.526382618248984,5.73804114195963e-39
cor10755,IKBKAP,YEATS2,0.523521115333672,1.7170645831978e-38
cor1354,IKBKAP,UBAP2,0.52123481175897,4.09146846385636e-38
cor205,IKBKAP,RARRES3,-0.52020725728328,6.03153871156157e-38
cor4019,IKBKAP,C10orf137,0.515406272937607,3.6337295544741e-37
cor378,IKBKAP,RBM6,0.510845825300993,1.9488888157102e-36
cor7051,IKBKAP,TCERG1,0.509956242341395,2.69645888130225e-36
cor6417,IKBKAP,RBBP6,0.49968172549381,1.07069809219952e-34
cor3427,IKBKAP,RALGPS1,0.498506868192545,1.61829277616267e-34
cor4648,IKBKAP,SMPD4,0.497838718437782,2.04534894358664e-34
cor2905,IKBKAP,ANP32B,0.493249695166929,1.00764928705995e-33
cor517,IKBKAP,CASP1,-0.485781405029652,1.28287822233819e-32
cor10922,IKBKAP,ZBTB43,0.484757770809559,1.80931537162678e-32
cor2016,IKBKAP,CAPG,-0.479993122069784,8.83060848405028e-32
cor1308,IKBKAP,PMS1,0.477324849737695,2.12250345010958e-31
cor8655,IKBKAP,IFI35,-0.47724430207662,2.17918152252612e-31
cor9856,IKBKAP,POLS,0.476380240954607,2.88985912877869e-31
cor5562,IKBKAP,EDC4,0.46983850559035,2.38614811739991e-30
cor3603,IKBKAP,TEX10,0.469168295436411,2.95470840462898e-30
cor7156,IKBKAP,MAP3K4,0.468670844128575,3.46157668761791e-30
cor6131,IKBKAP,NOL8,0.468270987364331,3.93062580334181e-30
cor1735,IKBKAP,MGAT1,-0.468003871617623,4.27846660948031e-30
cor9359,IKBKAP,NKTR,0.467884215731827,4.4440017541194e-30
cor2351,IKBKAP,LYN,-0.467193374566313,5.53134177554406e-30
cor7510,IKBKAP,BTAF1,0.465328492339924,9.96206808679789e-30
cor2530,IKBKAP,GTF3C4,0.464003446196939,1.50990251076464e-29
cor3007,IKBKAP,ZNF638,0.463592545830997,1.71708974719139e-29
cor10654,IKBKAP,ZNF202,0.463580715137226,1.72345418609113e-29
cor9092,IKBKAP,PGCP,-0.463225653590852,1.92571542604855e-29
cor787,IKBKAP,OGFRL1,-0.46264918923962,2.30523484566493e-29
cor53,IKBKAP,HIC2,0.462028853941754,2.79651880962917e-29
cor5535,IKBKAP,LGALS9,-0.459911594604921,5.39130183602157e-29
cor1388,IKBKAP,BRD3,0.459825173294668,5.53716480236758e-29
cor929,IKBKAP,ZNF10,0.455838761557319,1.88148083589121e-28
cor5278,IKBKAP,GAPVD1,0.455233010188898,2.26260549535354e-28
cor2214,IKBKAP,TLR3,-0.454169685204279,3.12495196541733e-28
cor4486,IKBKAP,PYCARD,-0.453484559595053,3.84537675861978e-28
cor8155,IKBKAP,SFRS8,0.453119235331403,4.29434034885118e-28
